edad,ypchtotcor,educc,pobreza
51,440959.0,4,3.0
63,440959.0,0,3.0
34,300000.0,4,3.0
38,300000.0,4,3.0
69,775000.0,6,3.0
67,775000.0,1,3.0
72,309056.0,2,3.0
80,309056.0,0,3.0
79,275455.0,1,3.0
67,275455.0,1,3.0
37,526613.0,4,3.0
44,526613.0,5,3.0
28,277154.0,2,2.0
30,264000.0,5,3.0
51,264000.0,5,3.0
31,264000.0,3,3.0
67,164639.0,3,2.0
59,164639.0,3,2.0
29,164639.0,3,2.0
19,325000.0,4,2.0
20,325000.0,4,2.0
45,187500.0,6,2.0
44,187500.0,3,2.0
58,601056.0,6,3.0
27,601056.0,5,3.0
25,601056.0,5,3.0
57,541250.0,6,3.0
25,541250.0,6,3.0
22,541250.0,5,3.0
19,541250.0,5,3.0
49,928333.0,6,3.0
32,0.0,4,1.0
48,0.0,6,1.0
45,700000.0,6,2.0
44,1618333.0,6,3.0
45,1618333.0,6,3.0
53,9568.0,2,1.0
55,9568.0,1,1.0
30,166306.0,4,2.0
81,166306.0,3,2.0
74,166306.0,1,2.0
78,218500.0,1,2.0
57,218500.0,1,2.0
26,172500.0,4,1.0
43,716667.0,6,3.0
48,1335073.0,6,3.0
36,643000.0,6,3.0
46,231885.0,4,3.0
46,314583.0,6,3.0
48,314583.0,4,3.0
58,794750.0,2,3.0
27,469444.0,5,3.0
27,469444.0,6,3.0
33,426667.0,6,3.0
80,495588.0,3,3.0
28,495588.0,4,3.0
42,495588.0,5,3.0
23,495588.0,5,3.0
78,495588.0,3,3.0
48,307162.0,6,3.0
22,307162.0,5,3.0
46,188750.0,4,2.0
35,188750.0,4,2.0
94,543000.0,1,3.0
73,382500.0,2,3.0
78,271917.0,2,3.0
80,271917.0,3,3.0
61,388917.0,1,3.0
75,388917.0,1,3.0
76,291959.0,3,3.0
52,291959.0,3,3.0
35,1650000.0,6,3.0
50,295278.0,3,3.0
79,295278.0,2,3.0
51,295278.0,2,3.0
49,624750.0,4,3.0
39,161959.0,5,1.0
21,1200000.0,5,3.0
44,1200000.0,3,3.0
47,1200000.0,6,3.0
50,2650000.0,6,3.0
28,2650000.0,3,3.0
72,669361.0,4,3.0
47,669361.0,4,3.0
22,669361.0,4,3.0
56,472222.0,1,3.0
51,472222.0,4,3.0
19,472222.0,4,3.0
46,470556.0,6,3.0
43,470556.0,6,3.0
80,695861.0,2,3.0
39,293333.0,4,3.0
40,293333.0,4,3.0
45,100000.0,2,1.0
70,221882.0,1,3.0
45,221882.0,4,3.0
21,221882.0,5,3.0
46,933333.0,6,3.0
34,1184167.0,6,3.0
32,1184167.0,6,3.0
50,14066667.0,6,3.0
38,339107.0,4,3.0
21,339107.0,5,3.0
52,922500.0,2,3.0
70,563459.0,2,3.0
65,563459.0,3,3.0
24,250000.0,4,2.0
30,250000.0,4,2.0
37,342500.0,4,3.0
27,342500.0,4,3.0
42,95000.0,4,1.0
36,95000.0,4,1.0
70,331680.0,1,3.0
72,331680.0,1,3.0
56,350000.0,6,3.0
20,350000.0,4,3.0
41,403333.0,6,3.0
72,180000.0,3,1.0
52,694000.0,6,3.0
61,198931.0,6,2.0
62,198931.0,1,2.0
48,675000.0,2,3.0
26,675000.0,6,3.0
24,125000.0,4,1.0
25,125000.0,4,1.0
57,261979.0,6,3.0
49,261979.0,5,3.0
19,261979.0,3,3.0
24,261979.0,6,3.0
48,254531.0,4,3.0
38,254531.0,4,3.0
19,254531.0,5,3.0
70,626936.0,3,3.0
77,626936.0,4,3.0
71,626936.0,1,3.0
25,243364.0,6,3.0
26,243364.0,6,3.0
75,566000.0,4,3.0
43,284595.0,4,3.0
18,284595.0,4,3.0
51,658000.0,4,3.0
53,688715.0,2,3.0
57,688715.0,1,3.0
22,688715.0,4,3.0
26,688715.0,4,3.0
42,586667.0,1,3.0
43,598750.0,5,3.0
40,598750.0,6,3.0
59,528975.0,1,3.0
49,232500.0,4,2.0
46,232500.0,4,2.0
36,676667.0,6,3.0
35,676667.0,5,3.0
25,261250.0,4,3.0
26,261250.0,4,3.0
54,1289722.0,1,3.0
55,1289722.0,2,3.0
21,1289722.0,6,3.0
61,3123156.0,6,3.0
61,3123156.0,6,3.0
26,3123156.0,6,3.0
29,250833.0,4,3.0
26,250833.0,5,3.0
31,583889.0,5,3.0
33,583889.0,4,3.0
23,328913.0,5,3.0
44,328913.0,4,3.0
26,328913.0,6,3.0
50,534750.0,3,3.0
50,99399.0,1,1.0
47,99399.0,2,1.0
29,99399.0,5,1.0
24,99399.0,5,1.0
52,304042.0,2,3.0
26,304042.0,4,3.0
54,304042.0,2,3.0
57,313988.0,3,3.0
27,313988.0,4,3.0
59,818000.0,4,3.0
52,504000.0,5,3.0
41,133609.0,4,1.0
41,133609.0,4,1.0
20,133609.0,5,1.0
56,338392.0,2,3.0
75,338392.0,2,3.0
42,303584.0,4,3.0
63,385833.0,6,3.0
29,385833.0,6,3.0
31,385833.0,6,3.0
26,1091250.0,6,3.0
55,1091250.0,6,3.0
55,522062.0,4,3.0
59,748374.0,5,3.0
70,375468.0,4,3.0
68,375468.0,4,3.0
31,375468.0,0,3.0
69,793000.0,4,3.0
32,403854.0,4,3.0
67,403854.0,1,3.0
37,403854.0,4,3.0
37,1462333.0,6,3.0
66,599842.0,6,3.0
69,599842.0,4,3.0
33,599842.0,6,3.0
27,599842.0,6,3.0
30,232222.0,4,3.0
24,232222.0,3,3.0
64,450348.0,3,3.0
62,450348.0,3,3.0
40,450348.0,0,3.0
56,1000000.0,6,3.0
68,834750.0,4,3.0
53,910000.0,6,3.0
55,910000.0,6,3.0
26,910000.0,5,3.0
24,910000.0,5,3.0
20,910000.0,5,3.0
62,1746667.0,6,3.0
54,1746667.0,6,3.0
25,1746667.0,5,3.0
24,1746667.0,6,3.0
20,1746667.0,5,3.0
54,6600000.0,6,3.0
